#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime
TA|034A|27.064699|-98.683296|155.0|Hebronville, TX, USA|2010-01-08T00:00:00|2011-11-17T23:59:59
TA|035A|26.937901|-98.102303|29.0|Encino, TX, USA|2010-01-12T00:00:00|2011-11-14T23:59:59
TA|035Z|26.462999|-98.068298|19.0|Hargill, TX, USA|2010-01-09T00:00:00|2011-11-20T23:59:59
TA|058A|27.0569|-81.804901|15.0|Arcadia, FL, USA|2012-03-11T00:00:00|2013-11-09T23:59:59
TA|059A|26.9671|-81.143997|11.0|Moore Haven, FL, USA|2012-03-12T00:00:00|2013-11-09T23:59:59
TA|059Z|26.337299|-81.443199|8.0|Ave Maria, FL, USA|2012-03-13T00:00:00|2013-11-11T23:59:59
TA|060A|27.0361|-80.361801|9.0|Indiantown, FL, USA|2012-03-15T00:00:00|2014-02-04T23:59:59
TA|060Z|26.4062|-80.556|9.0|West Palm Beach, FL, USA|2012-05-13T00:00:00|2013-11-13T23:59:59
TA|061Z|25.8657|-80.906998|9.0|Ochoppi, FL, USA|2012-05-14T00:00:00|2014-02-07T23:59:59
TA|062Z|24.726601|-81.052299|5.0|Marathon, FL, USA|2012-05-15T00:00:00|2013-11-14T23:59:59
TA|109C|32.888901|-117.105103|150.0|Camp Elliot, Miramar, CA, USA|2004-05-04T00:00:00|2018-08-21T23:59:59
TA|112A|32.535599|-114.580399|87.0|Yuma, AZ, USA|2007-05-06T00:00:00|2008-10-22T23:59:59
TA|113A|32.768299|-113.766701|118.0|Mohawk Valley, Roll, AZ, USA|2007-05-08T00:00:00|2010-05-28T23:59:59
TA|114A|32.751301|-112.883003|279.0|Black Gap (USAF), Gila Bend, AZ, USA|2008-02-05T00:00:00|2009-02-18T23:59:59
TA|115A|32.7006|-112.227898|606.2|Sonoran Desert, Stanfield, AZ, USA|2006-03-21T00:00:00|2008-12-04T23:59:59
TA|116A|32.561798|-111.704201|477.3|Eloy, AZ, USA|2006-03-20T00:00:00|2008-12-05T23:59:59
TA|117A|32.571602|-110.739304|1544.0|Oracle, AZ, USA|2007-04-06T00:00:00|2008-12-03T23:59:59
TA|118A|32.6399|-109.969704|1440.0|Homack Ranch, Wilcox, AZ, USA|2007-04-05T00:00:00|2009-01-21T23:59:59
TA|119A|32.7663|-109.302902|1406.0|Ashpeak Ranch, Duncan, AZ, USA|2007-03-11T00:00:00|2009-01-18T23:59:59
TA|120A|32.5466|-108.633003|1528.0|U Bar Ranch, Lordsburg, NM, USA|2008-02-02T00:00:00|2009-12-10T23:59:59
TA|121A|32.532398|-107.785103|1652.0|Cookes Peak, Deming, NM, USA|2008-02-12T00:00:00|2019-03-08T23:59:59
TA|122A|32.699501|-107.000504|1333.0|Conniff Cattle Co., Rinco, NM, USA|2008-02-01T00:00:00|2009-12-09T23:59:59
TA|123A|32.634899|-106.262199|1206.0|Bell Site, White Sands Missile Range, NM, USA|2008-05-14T00:00:00|2010-01-19T23:59:59
TA|124A|32.7001|-105.454399|2078.0|Stringfield Ranch, Weed, NM, USA|2008-02-27T00:00:00|2010-01-18T23:59:59
TA|125A|32.658798|-104.657303|1212.0|Gardner Draw, Artesia, NM, USA|2008-03-13T00:00:00|2010-02-18T23:59:59
TA|126A|32.646198|-104.020401|1032.0|Clayton Basin, Artesia, NM, USA|2008-03-15T00:00:00|2010-02-16T23:59:59
TA|127A|32.676399|-103.357498|1160.0|Arkansas Junction, Hobbs, NM, USA|2008-03-16T00:00:00|2010-03-03T23:59:59
TA|128A|32.6213|-102.485001|966.0|Castleberry Farm, Seminole, TX, USA|2009-02-06T00:00:00|2010-12-06T23:59:59
TA|129A|32.630901|-101.866203|876.0|Stewart Farms, Lamesa, TX, USA|2009-01-31T00:00:00|2010-12-07T23:59:59
TA|130A|32.5961|-100.965202|676.0|Snyder, TX, USA|2009-03-12T00:00:00|2011-02-09T23:59:59
TA|131A|32.673698|-100.388802|622.0|Roby, TX, USA|2009-03-14T00:00:00|2011-02-09T23:59:59
TA|133A|32.608299|-98.916199|418.0|Hamilton Ranch, Breckenridge, TX, USA|2009-11-12T00:00:00|2011-09-08T23:59:59
TA|134A|32.572899|-98.079498|297.0|White-Moore Ranch, Lipan, TX, USA|2009-11-16T00:00:00|2011-09-08T23:59:59
TA|135A|32.557301|-97.409897|270.0|Vickery Place, Crowley, TX, USA|2009-11-13T00:00:00|2011-09-09T23:59:59
TA|136A|32.474602|-96.529701|113.0|Ennis, TX, USA|2010-06-06T00:00:00|2012-01-19T23:59:59
TA|137A|32.597301|-95.755898|141.0|Heron Place, Grand Saline, TX, USA|2010-02-24T00:00:00|2012-01-22T23:59:59
TA|138A|32.6604|-95.088699|143.0|Matatall Enterprise, Big Sandy, TX, USA|2010-02-22T00:00:00|2012-01-29T23:59:59
